DateTime,State,Fuel Type,Supply
30/06/2021 00:00,VIC,Battery,81.723
30/06/2021 00:00,VIC,Brown coal,92055.882
30/06/2021 00:00,VIC,Gas,6083.477
30/06/2021 00:00,VIC,Hydro,12100.727
30/06/2021 00:00,VIC,Solar,2545.046
30/06/2021 00:00,VIC,Wind,36727.845
01/07/2021 00:00,NSW,Black coal,164823.73
01/07/2021 00:00,NSW,Gas,9299.334
01/07/2021 00:00,NSW,Hydro,8823.509
01/07/2021 00:00,NSW,Liquid Fuel,0
01/07/2021 00:00,NSW,Solar,3024.419
01/07/2021 00:00,NSW,Wind,7293.496
01/07/2021 00:00,QLD,Battery,0
01/07/2021 00:00,QLD,Biomass,1404.408
01/07/2021 00:00,QLD,Black coal,129303.315
01/07/2021 00:00,QLD,Gas,20914.194
01/07/2021 00:00,QLD,Hydro,3488.409
01/07/2021 00:00,QLD,Liquid Fuel,807.737
01/07/2021 00:00,QLD,Solar,4239.05
01/07/2021 00:00,QLD,Wind,7189.944
01/07/2021 00:00,SA,Battery,277.585
01/07/2021 00:00,SA,Gas,24377.488
01/07/2021 00:00,SA,Liquid Fuel,0
01/07/2021 00:00,SA,Solar,1484.869
01/07/2021 00:00,SA,Wind,6990.304
01/07/2021 00:00,TAS,Gas,266.709
01/07/2021 00:00,TAS,Hydro,31592.509
01/07/2021 00:00,TAS,Wind,4414.828
01/07/2021 00:00,VIC,Battery,83.856
01/07/2021 00:00,VIC,Brown coal,101977.676
01/07/2021 00:00,VIC,Gas,7738.442
01/07/2021 00:00,VIC,Hydro,11271.416
01/07/2021 00:00,VIC,Solar,2914.825
01/07/2021 00:00,VIC,Wind,20103.969
02/07/2021 00:00,NSW,Black coal,163368.334
02/07/2021 00:00,NSW,Gas,7065.335
02/07/2021 00:00,NSW,Hydro,3352.841
02/07/2021 00:00,NSW,Liquid Fuel,0
02/07/2021 00:00,NSW,Solar,4429.053
02/07/2021 00:00,NSW,Wind,9654.795
02/07/2021 00:00,QLD,Battery,0
02/07/2021 00:00,QLD,Biomass,1453.942
02/07/2021 00:00,QLD,Black coal,128727.728
02/07/2021 00:00,QLD,Gas,18109.677
02/07/2021 00:00,QLD,Hydro,3579.801
02/07/2021 00:00,QLD,Liquid Fuel,278.251
02/07/2021 00:00,QLD,Solar,3772.16
02/07/2021 00:00,QLD,Wind,3097.447
02/07/2021 00:00,SA,Battery,392.793
